			before		after
			0.0388		0.0082
			0.0405		0.0082
			0.0385		0.0067
			0.0364		0.0064
			0.0322		0.0063
			0.0322		0.007
			0.0313		0.0073
			0.0305		0.0075
			0.0301		0.0075
			0.0349		0.0078
			0.0335		0.0079
			0.0358		0.0079
			0.0341		0.0064
			0.034		0.006
			0.0352		0.007
			0.0344		0.0073
			0.0822		0.0076
			0.0339		0.0079
			0.034		0.0079
			0.0336		0.0085
			0.0352		0.0079
			0.0346		0.0078
			0.0349		0.0077
			0.0344		0.0079
			0.0345		0.008
			0.034		0.0079
			0.0352		0.0084
			0.034		0.008
			0.0354		0.008
			0.0349		0.0073
			0.0366		0.0077
			0.0339		0.0075
			0.0358		0.0074
			0.0347		0.008
			0.0353		0.0083
			0.0346		0.0079
			0.0354		0.0084
			0.0339		0.0079
			0.0352		0.0079
			0.0345		0.0073
			0.0361		0.008
			0.0349		0.0074
			0.0356		0.0078
			0.0337		0.0082
			0.0351		0.0075
			0.0328		0.0072
			0.0351		0.0069
			0.0341		0.007
			0.0347		0.0073
			0.0334		0.0073
			0.0347		0.0077
			0.0345		0.0074
			0.0349		0.0074
			0.0336		0.0074
			0.0351		0.0077
			0.0333		0.0075
			0.0341		0.0077
			0.0339		0.0074
			0.0333		0.0074
			0.0329		0.0075
			0.0348		0.0076
			0.0322		0.0065
			0.0342		0.0061
			0.0311		0.006
			0.0292		0.0069
			0.028		0.0074
			0.0283		0.0079
			0.0275		0.0076
			0.0286		0.0075
			0.0344		0.0073
			0.0374		0.0075
			0.0362		0.0063
			0.0364		0.0063
			0.0366		0.0071
			0.0347		0.0077
			0.0358		0.0077
			0.035		0.0082
			0.035		0.0083
			0.035		0.0081
			0.035		0.0079
			0.0346		0.0079
			0.0346		0.0084
			0.034		0.0085
			0.0353		0.0084
			0.0336		0.0085
			0.0357		0.009
			0.0336		0.0086
			0.0352		0.0091
			0.0345		0.0095
			0.0336		0.0084
			0.034		0.0089
			0.0349		0.0089
			0.0583		0.0086
			0.0358		0.0084
			0.0334		0.0076
			0.0345		0.0081
			0.0339		0.0078
			0.0897		0.0081
			0.0349		0.0079
			0.0339		0.0081
			0.0334		0.0077
			0.0355		0.0082
			0.0335		0.008
			0.0339		0.0082
			0.0343		0.0086
			0.034		0.0083
			0.0333		0.008
			0.0339		0.0081
			0.0331		0.0079
			0.034		0.0077
			0.0329		0.0075
			0.035		0.008
			0.0327		0.0079
			0.0336		0.0079
			0.033		0.0078
			0.0335		0.008
			0.0328		0.008
			0.032		0.0078
			0.0314		0.0081
			0.0318		0.0081
			0.0318		0.0079
			0.033		0.0082
			0.0314		0.0068
			0.0299		0.0073
			0.0269		0.0065
			0.027		0.0078
			0.0261		0.0074
			0.0262		0.0081
			0.0253		0.0078
			0.0307		0.008
			0.0308		0.0079
			0.034		0.008
			0.0309		0.0067
			0.031		0.0064
			0.0312		0.0074
			0.0307		0.008
			0.0313		0.0086
			0.0311		0.0088
			0.0322		0.0086
			0.0304		0.0072
			0.0312		0.0081
			0.0316		0.008
			0.0325		0.008
			0.0301		0.0078
			0.0334		0.0083
			0.0299		0.0079
			0.0303		0.0083
			0.0292		0.0079
			0.031		0.0079
			0.0303		0.0077
			0.0312		0.0082
			0.03		0.0082
			0.0311		0.0086
			0.0297		0.0082
			0.0301		0.0081
			0.0292		0.0078
			0.0309		0.0081
			0.0304		0.0079
			0.0298		0.0082
			0.0289		0.0077
			0.0299		0.0082
			0.0302		0.0082
			0.0299		0.0086
			0.0293		0.0082
			0.0291		0.0083
			0.0285		0.0082
			0.03		0.0083
			0.0284		0.0082
			0.029		0.0081
			0.0284		0.0081
			0.029		0.0081
			0.0281		0.008
			0.0291		0.0081
			0.0283		0.0079
			0.0289		0.008
			0.0279		0.0079
			0.0286		0.0083
			0.0272		0.0079
			0.028		0.0082
			0.0273		0.0081
			0.0292		0.0088
			0.027		0.007
			0.0284		0.007
			0.0261		0.0071
			0.0253		0.0076
			0.0241		0.0081
			0.0248		0.0087
			0.0239		0.0079
			0.0304		0.008
			0.031		0.0076
			0.0328		0.0081
			0.0296		0.0073
			0.0305		0.0065
			0.031		0.0076
			0.0307		0.008
			0.031		0.008
			0.0303		0.0077
			0.0308		0.0079
			0.0311		0.008
			0.0319		0.0088
			0.0313		0.008
			0.0318		0.0088
			0.0307		0.0091
			0.0313		0.0083
			0.0301		0.0079
			0.0313		0.0076
			0.03		0.0077
			0.0313		0.0076
			0.0308		0.0078
			0.0312		0.0077
			0.03		0.0085
			0.0307		0.0078
			0.0299		0.0078
			0.0309		0.0077
			0.0306		0.0075
			0.0303		0.0076
			0.03		0.0077
			0.0304		0.0075
			0.0292		0.0076
			0.0304		0.0077
			0.0295		0.0078
			0.0307		0.0076
			0.0295		0.0075
			0.0295		0.0078
			0.0306		0.0077
			0.0302		0.0077
			0.0284		0.0077
			0.0289		0.0076
			0.0292		0.0074
			0.029		0.0076
			0.0293		0.0073
			0.0287		0.0076
			0.0282		0.0077
			0.0292		0.0084
			0.0277		0.0082
			0.0283		0.008
			0.0281		0.0079
			0.029		0.008
			0.0284		0.0077
			0.0294		0.0082
			0.0267		0.0068
			0.0297		0.0063
			0.0267		0.0068
			0.026		0.0072
			0.0245		0.0072
			0.025		0.0076
			0.025		0.0072
			0.0251		0.0078
			0.0276		0.0075
			0.0284		0.0074
			0.0276		0.0072
			0.0291		0.0074
			0.0266		0.0063
			0.0275		0.0061
			0.0278		0.0072
			0.0271		0.0076
			0.0278		0.0077
			0.0271		0.0082
			0.0281		0.0085
			0.0276		0.0084
			0.0273		0.0084
			0.0268		0.0076
			0.0281		0.0087
			0.0268		0.0087
			0.0276		0.0085
			0.027		0.0076
			0.0281		0.0072
			0.0275		0.0073
			0.0274		0.0072
			0.027		0.0061
			0.028		0.0065
			0.0266		0.0061
			0.0273		0.0064
			0.0264		0.0062
			0.0273		0.0064
			0.0265		0.0063
			0.028		0.0065
			0.0264		0.0062
			0.0266		0.0064
			0.0255		0.0065
			0.0268		0.0063
			0.0259		0.0062
			0.0269		0.0063
			0.0258		0.0062
			0.0265		0.0063
			0.0262		0.0062
			0.0274		0.0062
			0.0261		0.0061
			0.0269		0.0063
			0.0264		0.0062
			0.0265		0.0063
			0.026		0.0062
			0.026		0.0099
			0.0257		0.0068
